Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
staff_initials72,full_screen_summary,,text,staff initials 7,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
cont_date72,full_screen_summary,,text,contact 7 date,,,date_mdy,,,,,,,,,,
cont_act72,full_screen_summary,,checkbox,contact 7 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
cont_notes72,full_screen_summary,,notes,contact 7 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 7 notes'
staff_initials82,full_screen_summary,,text,staff initials 8,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
cont_date82,full_screen_summary,,text,contact 8 date,,,date_mdy,,,,,,,,,,
cont_act82,full_screen_summary,,checkbox,contact 8 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
cont_notes82,full_screen_summary,,notes,contact 8 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 8 notes'
staff_initials92,full_screen_summary,,text,staff initials 9,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
cont_date92,full_screen_summary,,text,contact 9 date,,,date_mdy,,,,,,,,,,
cont_act92,full_screen_summary,,checkbox,contact 9 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
cont_notes92,full_screen_summary,,notes,contact 9 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 9 notes'
staff_initials102,full_screen_summary,,text,staff initials 10,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
cont_date102,full_screen_summary,,text,contact 10 date,,,date_mdy,,,,,,,,,,
cont_act102,full_screen_summary,,checkbox,contact 10 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
cont_notes102,full_screen_summary,,notes,contact 10 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 10 notes'
staff_initials112,full_screen_summary,,text,staff initials 11,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
cont_date112,full_screen_summary,,text,contact 11 date,,,date_mdy,,,,,,,,,,
cont_act112,full_screen_summary,,checkbox,contact 11 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
cont_notes112,full_screen_summary,,notes,contact 11 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 11 notes'
staff_initials122,full_screen_summary,,text,staff initials 12,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
cont_act122,full_screen_summary,,checkbox,contact 12 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
cont_date122,full_screen_summary,,text,contact 12 date,,,date_mdy,,,,,,,,,,
cont_notes122,full_screen_summary,,notes,contact 12 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 12 notes'
cont_notes_add22,full_screen_summary,,notes,Additional notes 2,,,,,,,,,RH,,,, @PLACEHOLDER='Additional notes'
full_lost,full_screen_summary,,radio,"<div class=""rich-text-field-label""><h6>Lost to follow-up?</h6></div>","1, Yes",,,,,,,,,,,,
pref_lang,econsent_setup,,dropdown,"<div class=""rich-text-field-label""><p>Patient preferred language</p> <p><br /><span style=""color: #06b2be;"">Preferred language from Screening: [screening_arm_1][languages]</span></p></div>","1, English | 2, Spanish",,,,,,,,,,,,
id_verify,econsent_setup,,radio,"<div class=""rich-text-field-label""><p>How did you confirm the participant's identity?</p></div>","1, Driver's license | 2, State ID | 3, Passport | 4, Other document {id_verify_oth} | 5, None - passcode provided",,,,,,,y,,,,,
id_verify_oth,econsent_setup,,text,"Other identification document, specified",,,,,,,[id_verify] = 4,y,,,,, @PLACEHOLDER = 'please specify'
icf_english_pg1,econsent_template_english,,descriptive,,,,,,,,,,,,,,
icf_english_pg2,econsent_template_english,,descriptive,,,,,,,,,,,,,,
icf_english_pg3,econsent_template_english,,descriptive,,,,,,,,,,,,,,
icf_english_pg4,econsent_template_english,,descriptive,,,,,,,,,,,,,,
fname_print,econsent_template_english,,text,Printed First Name of Participant:,,,,,,y,,y,,,,,
lname_print,econsent_template_english,,text,Printed Last Name of Participant:,,,,,,y,,y,,,,,
signature_of_participant,econsent_template_english,,file,Signature of Participant:,,,signature,,,y,,y,,,,,
sign_date_participant,econsent_template_english,,text,Date of Participant's Signature:,,,date_mdy,,,y,,y,,,,,
name_rep_1,econsent_template_english,,text,Printed Name of Parent/Legally Authorized Representative (Parent 1):,,,,,,y,,y,,,,, @HIDDEN
name_rep_2,econsent_template_english,,text,Printed Name of Parent/Legally Authorized Representative (Parent 2):,,,,,,y,,,,,,, @HIDDEN
par_lar_signature_1,econsent_template_english,,file,Signature of Parent/Legally Authorized Representative (Parent 1):,,,signature,,,y,,y,,,,, @HIDDEN
par_lar_signature_2,econsent_template_english,,file,Signature of Parent/Legally Authorized Representative (Parent 2):,,,signature,,,y,,,,,,, @HIDDEN
par_lar_sig_date,econsent_template_english,,text,Date of Parent(s)/Legally Authorized Representative Signature:,,,date_mdy,,,y,,y,,,,, @HIDDEN
name_obtaining,econsent_template_english,,text,Printed Name of Person Obtaining Consent:,,,,,,y,,y,,,,,
sign_obtaining,econsent_template_english,,file,Signature of Person Obtaining Consent:,,,signature,,,y,,y,,,,,
sign_date_obtaining,econsent_template_english,,text,Date of Person Obtaining Consent Signature:,,,date_mdy,,,y,,y,,,,,
icf_spanishspan1,econsent_template_spanish,,descriptive,,,,,,,,,,,,,,
icf_spanishspan2,econsent_template_spanish,,descriptive,,,,,,,,,,,,,,
icf_spanishspan3,econsent_template_spanish,,descriptive,,,,,,,,,,,,,,
icf_spanishspan4,econsent_template_spanish,,descriptive,,,,,,,,,,,,,,
icf_spanishspan5,econsent_template_spanish,,descriptive,,,,,,,,,,,,,,
fname_printspan,econsent_template_spanish,,text,Nombre en letra de molde del participante:,,,,,,y,,y,,,,,
lname_printspan,econsent_template_spanish,,text,Apellido en letra de molde del participante:,,,,,,y,,y,,,,,
signature_of_participantspan,econsent_template_spanish,,file,Firma del participante:,,,signature,,,y,,y,,,,,
sign_date_participantspan,econsent_template_spanish,,text,Fecha:,,,date_mdy,,,y,,y,,,,,
name_rep_1span,econsent_template_spanish,,text,Nombre en letra de molde del representate legal del participanted (Primero):,,,,,,y,,y,,,,, @HIDDEN
name_rep_2span,econsent_template_spanish,,text,Nombre en letra de molde del representate legal del participanted (Segundo):,,,,,,y,,,,,,, @HIDDEN
par_lar_signature_1span,econsent_template_spanish,,file,Firma del representate legal del participanted (Primero):,,,signature,,,y,,y,,,,, @HIDDEN
par_lar_signature_2span,econsent_template_spanish,,file,Firma del representate legal del participanted (Segundo):,,,signature,,,y,,,,,,, @HIDDEN
par_lar_sig_datespan,econsent_template_spanish,,text,Fecha:,,,date_mdy,,,y,,y,,,,, @HIDDEN
name_obtainingspan,econsent_template_spanish,,text,Nombre en letra de molde de persona obteniendo el consentimiento:,,,,,,y,,y,,,,,
sign_obtainingspan,econsent_template_spanish,,file,Firma de persona obteniendo el consentimiento:,,,signature,,,y,,y,,,,,
sign_date_obtainingspan,econsent_template_spanish,,text,Fecha:,,,date_mdy,,,y,,y,,,,,
consent_send,postconsent_survey,,radio,"<div class=""rich-text-field-label""><p>How did the participant receive their copy of the <span style=""text-decoration: underline;"">signed</span> consent form?</p></div>","1, Self-download | 2, Secure email | 3, In-person, printed copy",,,,,,,y,,,,,
last_contact,contact_tracking,,text,"<div class=""rich-text-field-label""><p>Date of last contact</p></div>",,,date_mdy,,,,,,,,,,
contact_table,contact_tracking,,descriptive,"<div class=""rich-text-field-label""><h5>Contact Attempts</h5> <table style=""border-collapse: collapse; width: 100.867%; height: 323px;"" border=""1""> <tbody> <tr> <td style=""width: 33.3817%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 1</span></p> <p>{staff_initials1}</p> <p>{cont_date1}</p> <p>{cont_act1}</p> <p>{cont_notes1}</p> </td> <td style=""width: 33.3817%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 2</span></p> <p>{staff_initials2}</p> <p>{cont_date2}</p> <p>{cont_act2}</p> <p>{cont_notes2}</p> </td> <td style=""width: 33.0939%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 3</span></p> <p>{staff_initials3}</p> <p>{cont_date3}</p> <p>{cont_act3}</p> <p>{cont_notes3}</p> </td> </tr> <tr> <td style=""width: 33.3817%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 4</span></p> <p>{staff_initials4}</p> <p>{cont_date4}</p> <p>{cont_act4}</p> <p>{cont_notes4}</p> </td> <td style=""width: 33.3817%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 5</span></p> <p>{staff_initials5}</p> <p>{cont_date5}</p> <p>{cont_act5}</p> <p>{cont_notes5}</p> </td> <td style=""width: 33.0939%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 6</span></p> <p>{staff_initials6}</p> <p>{cont_date6}</p> <p>{cont_act6}</p> <p>{cont_notes6}</p> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 54.3353%;"" border=""1""> <tbody> <tr> <td style=""width: 100%; border-style: hidden;""> <p><span style=""text-decoration: underline;"">Additional notes:</span></p> <p>{cont_notes_add1}</p> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
staff_initials1,contact_tracking,,text,staff initials 1,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
cont_date1,contact_tracking,,text,contact 1 date,,,date_mdy,,,,,,,,,,
cont_act1,contact_tracking,,checkbox,contact 1 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
cont_notes1,contact_tracking,,notes,contact 1 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 1 notes'
staff_initials2,contact_tracking,,text,staff initials 2,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
cont_date2,contact_tracking,,text,contact 2 date,,,date_mdy,,,,,,,,,,
cont_act2,contact_tracking,,checkbox,contact 2 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
cont_notes2,contact_tracking,,notes,contact 2 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 2 notes'
staff_initials3,contact_tracking,,text,staff initials 3,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
cont_date3,contact_tracking,,text,contact 3 date,,,date_mdy,,,,,,,,,,
cont_act3,contact_tracking,,checkbox,contact 3 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
cont_notes3,contact_tracking,,notes,contact 3 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 3 notes'
staff_initials4,contact_tracking,,text,staff initials 4,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
cont_date4,contact_tracking,,text,contact 4 date,,,date_mdy,,,,,,,,,,
cont_act4,contact_tracking,,checkbox,contact 4 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
cont_notes4,contact_tracking,,notes,contact 4 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 4 notes'
staff_initials5,contact_tracking,,text,staff initials 5,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
cont_date5,contact_tracking,,text,contact 5 date,,,date_mdy,,,,,,,,,,
cont_act5,contact_tracking,,checkbox,contact 5 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
cont_notes5,contact_tracking,,notes,contact 5 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 5 notes'
staff_initials6,contact_tracking,,text,staff initials 6,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
cont_date6,contact_tracking,,text,contact 6 date,,,date_mdy,,,,,,,,,,
cont_act6,contact_tracking,,checkbox,contact 6 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
cont_notes6,contact_tracking,,notes,contact 6 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 6 notes'
cont_notes_add1,contact_tracking,,notes,Additional notes 1,,,,,,,,,RH,,,, @PLACEHOLDER='Additional notes'
contact_more1,contact_tracking,,radio,"<div class=""rich-text-field-label""><h5>Need more contact attempt fields?</h5></div>","1, Yes",,,,,,,,RH,,,,
contact_table_2,contact_tracking,,descriptive,"<div class=""rich-text-field-label""><h5>Contact Attempts</h5> <table style=""border-collapse: collapse; width: 100.867%; height: 323px;"" border=""1""> <tbody> <tr> <td style=""width: 33.3817%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 7</span></p> <p>{staff_initials7}</p> <p>{cont_date7}</p> <p>{cont_act7}</p> <p>{cont_notes7}</p> </td> <td style=""width: 33.3817%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 8</span></p> <p>{staff_initials8}</p> <p>{cont_date8}</p> <p>{cont_act8}</p> <p>{cont_notes8}</p> </td> <td style=""width: 33.0939%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 9</span></p> <p>{staff_initials9}</p> <p>{cont_date9}</p> <p>{cont_act9}</p> <p>{cont_notes9}</p> </td> </tr> <tr> <td style=""width: 33.3817%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 10</span></p> <p>{staff_initials10}</p> <p>{cont_date10}</p> <p>{cont_act10}</p> <p>{cont_notes10}</p> </td> <td style=""width: 33.3817%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 11</span></p> <p>{staff_initials11}</p> <p>{cont_date11}</p> <p>{cont_act11}</p> <p>{cont_notes11}</p> </td> <td style=""width: 33.0939%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 12</span></p> <p>{staff_initials12}</p> <p>{cont_date12}</p> <p>{cont_act12}</p> <p>{cont_notes12}</p> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 54.3353%;"" border=""1""> <tbody> <tr> <td style=""width: 100%; border-style: hidden;""> <p><span style=""text-decoration: underline;"">Additional notes:</span></p> <p>{cont_notes_add2}</p> </td> </tr> </tbody> </table></div>",,,,,,,[contact_more1] = 1,,,,,,
staff_initials7,contact_tracking,,text,staff initials 7,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
cont_date7,contact_tracking,,text,contact 7 date,,,date_mdy,,,,,,,,,,
cont_act7,contact_tracking,,checkbox,contact 7 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
cont_notes7,contact_tracking,,notes,contact 7 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 7 notes'
staff_initials8,contact_tracking,,text,staff initials 8,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
cont_date8,contact_tracking,,text,contact 8 date,,,date_mdy,,,,,,,,,,
cont_act8,contact_tracking,,checkbox,contact 8 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
cont_notes8,contact_tracking,,notes,contact 8 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 8 notes'
staff_initials9,contact_tracking,,text,staff initials 9,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
cont_date9,contact_tracking,,text,contact 9 date,,,date_mdy,,,,,,,,,,
cont_act9,contact_tracking,,checkbox,contact 9 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
cont_notes9,contact_tracking,,notes,contact 9 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 9 notes'
staff_initials10,contact_tracking,,text,staff initials 10,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
cont_date10,contact_tracking,,text,contact 10 date,,,date_mdy,,,,,,,,,,
cont_act10,contact_tracking,,checkbox,contact 10 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
cont_notes10,contact_tracking,,notes,contact 10 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 10 notes'
staff_initials11,contact_tracking,,text,staff initials 11,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
cont_date11,contact_tracking,,text,contact 11 date,,,date_mdy,,,,,,,,,,
cont_act11,contact_tracking,,checkbox,contact 11 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
cont_notes11,contact_tracking,,notes,contact 11 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 11 notes'
staff_initials12,contact_tracking,,text,staff initials 12,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
cont_act12,contact_tracking,,checkbox,contact 12 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
cont_date12,contact_tracking,,text,contact 12 date,,,date_mdy,,,,,,,,,,
cont_notes12,contact_tracking,,notes,contact 12 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 12 notes'
cont_notes_add2,contact_tracking,,notes,Additional notes 2,,,,,,,,,RH,,,, @PLACEHOLDER='Additional notes'
lost,contact_tracking,,radio,"<div class=""rich-text-field-label""><h6>Lost to follow-up?</h6></div>","1, Yes",,,,,,,,,,,,
education,demographics,,radio,"<div class=""rich-text-field-label""><p>What is the highest grade of school you've completed?</p></div>","1, No formal education completed | 2, 1st to 8th grade | 3, 9th to 11th grade | 4, GED (high school equivalent) | 5, High school diploma | 6, Some college/university | 7, College/university degree | -999, Decline to answer",,,,,,,y,,,,,
work,demographics,,dropdown,"<div class=""rich-text-field-label""><p>Which of the following best described your work situation in the past month?</p></div>","1, Full time (more than 30 hours) | 2, Part time (less than 30 hours) | 3, Paid leave (temporarily laid off, sick leave, parental leave) | 4, Seasonal worker | 5, Looking for work | 6, Not employed, not looking for work | 7, Retired | 8, Disability | 9, Housework | 10, Student | -999, Decline to answer",,,,,,,y,,,,,
income,demographics,,dropdown,"<div class=""rich-text-field-label""><p>Last month, what was the total amount of money you and your family lived on, including public assistance (after taxes)?</p></div>","1, Less than $200 | 2, $200-$499 | 3, $500-$999 | 4, $1,000-$1,999 | 5, $2,000-$2,999 | 6, $3,000-$3,999 | 7, $4,000-$4,999 | 8, $5,000-$5,999 | 9, $6,000 or more | -999, Decline to answer",,,,,,,y,,,,,
income_depend,demographics,,text,"<div class=""rich-text-field-label""><p>How many people, including yourself, depend on this income?</p></div>",,Type -999 to decline to answer,integer,1,,,,y,,,,,
insurance,demographics,,dropdown,"<div class=""rich-text-field-label""><p>What is your current primary insurance plan? </p></div>","1, ACA (Obama Care) | 2, Medicare only | 3, Medicaid only | 4, Medicare and Medicaid | 5, Medicare/HMO | 6, Medicaid/HMO | 7, PVT/HMO from work/Spouse | 8, Ryan White | 9, Uninsured | -999, Decline to answer",,,,,,,y,,,,,
born,demographics,,dropdown,"<div class=""rich-text-field-label""><p>Where were you born?</p></div>","1, United States | 2, Argentina | 3, Bahamas | 4, Bolivia | 5, Brazil | 6, Chile | 7, Colombia | 8, Costa Rica | 9, Cuba | 10, Dominican Republic | 11, Ecuador | 12, El Salvador | 13, Guatemala | 14, Haiti | 15, Honduras | 16, Jamaica | 17, Mexico | 18, Nicaragua | 19, Panama | 20, Paraguay | 21, Peru | 22, Puerto Rico | 23, Spain | 24, Trinidad and Tobago | 25, Uruguay | 26, Venezuela | 27, Other (specify) | -999, Decline to answer",,autocomplete,,,,,y,,,,,
born_oth,demographics,,text,"<div class=""rich-text-field-label""><p>Please specify where you were born:</p></div>",,Type -999 to decline to answer,,,,,[born] = 27,y,,,,,
usyears,demographics,,text,"<div class=""rich-text-field-label""><p>How many years have you lived in the U.S.? </p></div>",,Type -999 to decline to answer,,,,,"[born] <> 1 AND [born] <> """"",,,,,,
miamiyrs,demographics,,radio,"<div class=""rich-text-field-label""><p>Have you always lived in the Miami area?</p></div>","0, No | 1, Yes | -999, Decline to answer",,,,,,[born] = 1,y,,,,,
miamiyrs2,demographics,,text,"<div class=""rich-text-field-label""><p>How long have you been living in the Miami area (years)? </p></div>",,Type -999 to decline to answer,integer,,,,"[miamiyrs] = ""0"" OR ([born] <> ""0"" AND [born] <> '-999')",y,,,,,
citizenship,demographics,,dropdown,"<div class=""rich-text-field-label""><p>Which of the following best describes your current status in the U.S.? Please keep in mind that your answer is completely confidential.</p></div>","1, US Citizen | 2, Permanent resident | 3, Awaiting residency | 4, Without papers | 5, Student visa | 6, Dependent on someone else's visa (husband/wife/parent/guardian) | 7, Asylum | 8, Awaiting asylum | 9, Temporary resident | 10, Temporary work visa | 11, Tourist visa | 12, Expired visa | 13, Temporary protected immigrant (DACA/Dreamer) | 14, Other | -999, Decline to answer",,autocomplete,,,,,y,,,,,
citizenship_oth,demographics,,text,"<div class=""rich-text-field-label""><p>You selected ""Other"" citizenship status. Please describe:</p></div>",,Type -999 to decline to answer,,,,,[citizenship] = 14,y,,,,,
lang_pref,demographics,,radio,"<div class=""rich-text-field-label""><p>What is your preferred language?</p></div>","1, English | 2, Spanish | 3, Indigenous language {lang_pref_indg} | 4, Other {lang_pref_oth} | -999, Decline to answer",,,,,,,y,,,,,
lang_pref_indg,demographics,,text,"Preferred language, indigenous specified",,,,,,,[lang_pref] = 3,y,,,,, @PLACEHOLDER='please specify'
lang_pref_oth,demographics,,text,"Preferred language, other specified",,,,,,,[lang_pref] = 4,y,,,,, @PLACEHOLDER='please specify'
lang_nat,demographics,,radio,"<div class=""rich-text-field-label""><p>What is your native language?</p></div>","1, English | 2, Spanish | 3, Indigenous language {lang_nat_indg} | 4, Other {lang_nat_oth} | -999, Decline to answer",,,,,,,y,,,,,
lang_nat_indg,demographics,,text,"Native language, indigenous specified",,,,,,,[lang_nat] = 3,y,,,,, @PLACEHOLDER='please specify'
lang_nat_oth,demographics,,text,"Native language, other specified",,,,,,,[lang_nat] = 4,y,,,,, @PLACEHOLDER='please specify'
latin_term,demographics,,checkbox,"<div class=""rich-text-field-label""><p>Which of the following terms do you use to describe your ethnicity (check all that apply)</p></div>","1, Latino | 2, Latine | 3, Latinx | 4, Latina | 5, Hispanic | 6, Another term {latin_term_oth} | -999, Decline to answer",,,,,,,y,,,,,
latin_term_oth,demographics,,text,"<div class=""rich-text-field-label""><p>Other latin term, specified</p></div>",,,,,,,[latin_term(6)],y,,,,, @PLACEHOLDER = 'please specify'
money_stress,demographics,,radio,"<div class=""rich-text-field-label""><p>How often in the past 12 months would you say you were worried or stressed about having enough money to pay your rent/mortgage?</p></div>","1, Always | 2, Usually | 3, Sometimes | 4, Rarely | 5, Never | -999, Decline to answer",,,,,,,y,,,,,
relationship,demographics,,radio,"<div class=""rich-text-field-label""><p>What is your current relationship status?</p></div>","1, Single | 2, Dating casually | 3, Serious monogamous partnership | 4, Serious non-monogamous partnership | 5, Polyamorous relationship | 6, Married, monogamous (exclusive) | 7, Married, non-monogamous | -999, Decline to answer",,,,,,,y,,,,,
education_fu,demographics_fu,,radio,"<div class=""rich-text-field-label""><p>What is the highest grade of school you've completed?</p></div>","1, No formal education completed | 2, 1st to 8th grade | 3, 9th to 11th grade | 4, GED (high school equivalent) | 5, High school diploma | 6, Some college/university | 7, College/university degree | -999, Decline to answer",,,,,,,y,,,,,
work_fu,demographics_fu,,dropdown,"<div class=""rich-text-field-label""><p>Which of the following best described your work situation in the past month?</p></div>","1, Full time (more than 30 hours) | 2, Part time (less than 30 hours) | 3, Paid leave (temporarily laid off, sick leave, parental leave) | 4, Seasonal worker | 5, Looking for work | 6, Not employed, not looking for work | 7, Retired | 8, Disability | 9, Housework | 10, Student | -999, Decline to answer",,,,,,,y,,,,,
income_fu,demographics_fu,,dropdown,"<div class=""rich-text-field-label""><p>Last month, what was the total amount of money you and your family lived on, including public assistance (after taxes)?</p></div>","1, Less than $200 | 2, $200-$499 | 3, $500-$999 | 4, $1,000-$1,999 | 5, $2,000-$2,999 | 6, $3,000-$3,999 | 7, $4,000-$4,999 | 8, $5,000-$5,999 | 9, $6,000 or more | -999, Decline to answer",,,,,,,y,,,,,
income_depend_fu,demographics_fu,,text,"<div class=""rich-text-field-label""><p>How many people, including yourself, depend on this income?</p></div>",,Type -999 to decline to answer,integer,1,,,,y,,,,,
insurance_fu,demographics_fu,,dropdown,"<div class=""rich-text-field-label""><p>What is your current primary insurance plan? </p></div>","1, ACA (Obama Care) | 2, Medicare only | 3, Medicaid only | 4, Medicare and Medicaid | 5, Medicare/HMO | 6, Medicaid/HMO | 7, PVT/HMO from work/Spouse | 8, Ryan White | 9, Uninsured | -999, Decline to answer",,,,,,,y,,,,,
born_fu,demographics_fu,,dropdown,"<div class=""rich-text-field-label""><p>Where were you born?</p></div>","1, United States | 2, Argentina | 3, Bahamas | 4, Bolivia | 5, Brazil | 6, Chile | 7, Colombia | 8, Costa Rica | 9, Cuba | 10, Dominican Republic | 11, Ecuador | 12, El Salvador | 13, Guatemala | 14, Haiti | 15, Honduras | 16, Jamaica | 17, Mexico | 18, Nicaragua | 19, Panama | 20, Paraguay | 21, Peru | 22, Puerto Rico | 23, Spain | 24, Trinidad and Tobago | 25, Uruguay | 26, Venezuela | 27, Other (specify) | -999, Decline to answer",,autocomplete,,,,,y,,,,,
born_oth_fu,demographics_fu,,text,"<div class=""rich-text-field-label""><p>Please specify where you were born:</p></div>",,Type -999 to decline to answer,,,,,[born_fu] = 27,y,,,,,
usyears_fu,demographics_fu,,text,"<div class=""rich-text-field-label""><p>How many years have you lived in the U.S.? </p></div>",,Type -999 to decline to answer,,,,,"[born_fu] <> 1 AND [born_fu] <> """"",,,,,,
miamiyrs_fu,demographics_fu,,radio,"<div class=""rich-text-field-label""><p>Have you always lived in the Miami area?</p></div>","0, No | 1, Yes | -999, Decline to answer",,,,,,[born_fu] = 1,y,,,,,
miamiyrs2_fu,demographics_fu,,text,"<div class=""rich-text-field-label""><p>How long have you been living in the Miami area (years)? </p></div>",,Type -999 to decline to answer,integer,,,,"[miamiyrs_fu] = ""0"" OR ([born_fu] <> ""0"" AND [born_fu] <> '-999')",y,,,,,
citizenship_fu,demographics_fu,,dropdown,"<div class=""rich-text-field-label""><p>Which of the following best describes your current status in the U.S.? Please keep in mind that your answer is completely confidential.</p></div>","1, US Citizen | 2, Permanent resident | 3, Awaiting residency | 4, Without papers | 5, Student visa | 6, Dependent on someone else's visa (husband/wife/parent/guardian) | 7, Asylum | 8, Awaiting asylum | 9, Temporary resident | 10, Temporary work visa | 11, Tourist visa | 12, Expired visa | 13, Temporary protected immigrant (DACA/Dreamer) | 14, Other | -999, Decline to answer",,autocomplete,,,,,y,,,,,
citizenship_oth_fu,demographics_fu,,text,"<div class=""rich-text-field-label""><p>You selected ""Other"" citizenship status. Please describe:</p></div>",,Type -999 to decline to answer,,,,,[citizenship_fu] = 14,y,,,,,
lang_pref_fu,demographics_fu,,radio,"<div class=""rich-text-field-label""><p>What is your preferred language?</p></div>","1, English | 2, Spanish | 3, Indigenous language {lang_pref_indg_fu} | 4, Other {lang_pref_oth_fu} | -999, Decline to answer",,,,,,,y,,,,,
lang_pref_indg_fu,demographics_fu,,text,"Preferred language, indigenous specified",,,,,,,[lang_pref_fu] = 3,y,,,,, @PLACEHOLDER='please specify'
lang_pref_oth_fu,demographics_fu,,text,"Preferred language, other specified",,,,,,,[lang_pref_fu] = 4,y,,,,, @PLACEHOLDER='please specify'
lang_nat_fu,demographics_fu,,radio,"<div class=""rich-text-field-label""><p>What is your native language?</p></div>","1, English | 2, Spanish | 3, Indigenous language {lang_nat_indg_fu} | 4, Other {lang_nat_oth_fu} | -999, Decline to answer",,,,,,,y,,,,,
lang_nat_indg_fu,demographics_fu,,text,"Native language, indigenous specified",,,,,,,[lang_nat_fu] = 3,y,,,,, @PLACEHOLDER='please specify'
lang_nat_oth_fu,demographics_fu,,text,"Native language, other specified",,,,,,,[lang_nat_fu] = 4,y,,,,, @PLACEHOLDER='please specify'
